Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry
The #$%$#@!Royal Cork Yacht Club,http://royalcork.com,+353(0)214831023,-8.30380571139221,51.8043618205521,Cork,Crosshaven,Republic of Ireland
Coláiste na Rinne,http://www.anrinn.com,+353(0)5846128,-7.59086376525419,52.0503788173728,Waterford,Dungarvan,Republic of Ireland
The Cathedral View Apartments,http://cathedralviewapartments.ie/,+353(0)433336450,-7.79671417055226,53.7263608738168,Longford,Longford Town,Republic of Ireland
Great Blasket Island Accommodation,http://www.greatblasketisland.net,+353(0)860572626,-10.5145311896667,52.1047404284962,Kerry,Dingle,Republic of Ireland
Newlands Lodge,http://www.newlandslodge.com,+353(0)567729862,-7.26364,52.59256,Kilkenny,Kilkenny City,Republic of Ireland
Winnies Cottage,,+353(0)862565044,-9.83953,51.828457,Kerry,Sneem,Republic of Ireland
Caiseal Mara Hotel,http://www.caisealmarahotel.com/,+353(0)749382600,-7.04113286681274,55.1881207945427,Donegal,Moville,Republic of Ireland
Feerick's Hotel,http://www.feericks.ie/,+353(0)436676025,-7.521209,53.656852,Westmeath,Rathowen,Republic of Ireland
Carton House,http://www.cartonhouse.com,+353(0)15052000,-6.56690775463107,53.3908389863473,Kildare,Maynooth,Republic of Ireland
Carrygerry Country House,http://www.carrygerryhouse.com,+353(0)61360500,-8.938645,52.700803,Clare,Newmarket-on-fergus,Republic of Ireland
Shannon Breeze,http://www.shannonbreezekillaloe.com,,-8.40305965872198,52.7959926134754,Clare,Killaloe,Republic of Ireland
Mill Road Farm,http://www.millroadfarm.com,+353(0)539129633,-6.568144,52.186498,Wexford,Kilmore Quay,Republic of Ireland
The Loft,,+353(0)51389192,-6.951017,52.24227,Wexford,Arthurstown,Republic of Ireland
Mill Farm Fern Cottage,http://www.millfarmcottage.com,+353(0)51565782,-6.74802668249515,52.3142097640341,Wexford,Foulkesmill,Republic of Ireland
Kilmore Cottage,http://www.kilmorecottage.com/,+353(0)539135487,-6.54599580150738,52.2022820732052,Wexford,Kilmore,Republic of Ireland
Rosdarrig,http://www.rosdarrig.com,+353(0)719662040,-8.284955,53.971099,Roscommon,Boyle,Republic of Ireland
Armcashel B&B,http://www.armcashel.com,+353(0)949620117,-8.512525,53.768893,Roscommon,Castlerea,Republic of Ireland
Clonalis House,http://www.clonalis.com,+353(0)949620014,-8.515439,53.780387,Roscommon,Castlerea,Republic of Ireland
Killfountain Farm,http://www.killfountain.com,+353(0)669151389,-10.298782,52.151266,Kerry,Dingle,Republic of Ireland
An Dooneen,http://www.hurleysbandb.com/,+353(0)669155112,-10.3437430661315,52.2007390914392,Kerry,Dingle,Republic of Ireland
Ballyegan House,,+353(0)669151702,-10.26375,52.1385,Kerry,Dingle,Republic of Ireland
Sea Villa,http://www.seavilla.net,+353(0)2774369,-9.886169,51.75573,Cork,Beara Peninsula,Republic of Ireland
Avondale House,http://avondalerooskey.com,+353(0)719638095,-7.929054,53.829837,Roscommon,Rooskey,Republic of Ireland
Sandycove,http://www.sandycovehouse.com,+353(0)2836223,-9.198747,51.509557,Cork,Skibbereen,Republic of Ireland
Marengo,http://www.booking.com/hotel/ie/marengo-guest-accommodation.en-gb.html,+353(0)6389658,-8.672021,52.31845,Cork,Charleville,Republic of Ireland
An Garran Coir,http://www.angarrancoir.com,+353(0)238848236,-8.969673,51.585025,Cork,Clonakilty,Republic of Ireland
Bay View House,http://www.bayviewclonakilty.com,+353(0)238833539,-8.880512,51.623448,Cork,Clonakilty,Republic of Ireland
Druids Glen Hotel & Golf Resort,http://www.druidsglenresort.com,+353(0)12870847,-6.078792,53.091626,Wicklow,Newtown Mount Kennedy,Republic of Ireland
Stella Maris Country House Hotel,http://www.stellamarisireland.com,+353(0)9643322,-9.392421,54.299556,Mayo,Ballycastle,Republic of Ireland
The Midlands Park Hotel,http://www.midlandsparkhotel.com,+353(0)578678588,-7.303044,53.034916,Laois,Portlaoise,Republic of Ireland
Carnegie Court Hotel,http://www.carnegiecourthotel.com/,+353(0)18404384,-6.217837,53.462472,Dublin,Swords,Republic of Ireland
The Martello Hotel,http://www.themartello.ie/index.htm,+353(0)12868000,-6.09655071873658,53.1999748262766,Wicklow,Bray,Republic of Ireland
Castle Durrow Country House Hotel,http://www.castledurrow.com,+353(0)578736555,-7.402574,52.846167,Laois,Durrow,Republic of Ireland
Clayton Hotel Limerick,http://www.claytonhotellimerick.com,+353(0)61444100,-8.637177,52.660476,Limerick,Limerick City,Republic of Ireland
Racket Hall Hotel,http://www.rackethallhotel.com,+353(0)50521748,-7.760378,52.958778,Tipperary,Roscrea,Republic of Ireland
Bloomfield House Hotel and Leisure Club,http://www.bloomfieldhousehotel.ie,+353(0)449340894,-7.36240485152052,53.4882103093645,Westmeath,Mullingar,Republic of Ireland
Inishowen Gateway Hotel,http://www.inishowengateway.com,+353(0)749361144,-7.45700134722142,55.1257978882691,Donegal,Buncrana,Republic of Ireland
Park Hotel Kenmare,http://www.parkkenmare.com,+353(0)646641200,-9.58116586144638,51.8783134834042,Kerry,Kenmare,Republic of Ireland
Town House Hotel,http://www.thetownhousehotel.ie,+353(0)45879226,-6.67192033498759,53.2162504396336,Kildare,Naas,Republic of Ireland
White Sands Hotel,http://www.whitesandshotel.ie,+353(0)18666000,-6.12429718650821,53.4355457909039,Dublin,Portmarnock,Republic of Ireland
Granville Hotel,https://www.granvillehotel.ie/en/,+353(0)51305555,-7.1123302386751,52.2620660629343,Waterford,Waterford,Republic of Ireland
An Doilin Hotel,,+353(0)91595169,-9.604739,53.261397,Galway,Carraroe,Republic of Ireland
Heaton's Guesthouse,http://www.heatonsdingle.com,+353(0)669152288,-10.285665,52.1411,Kerry,Dingle,Republic of Ireland
Butlers Townhouse,http://www.butlers-townhouse.com,+353(0)16674022,-6.23233233804603,53.3339715198393,Dublin,Dublin City,Republic of Ireland
Ferryport House,http://www.ferryporthouse.com,+353(0)539133933,-6.34345,52.249083,Wexford,Rosslare Harbour,Republic of Ireland
Dún Na Sí,http://www.dunnasi.com,+353(0)719852322,-8.212673,54.496289,Donegal,Ballyshannon,Republic of Ireland
Murphys of Killarney,http://www.murphysofkillarney.com,+353(0)646631294,-9.506209,52.059461,Kerry,Killarney,Republic of Ireland
Moriarty's Farmhouse,http://www.dinglevacation.com,+353(0)669159037,-10.386819,52.135128,Kerry,Dingle,Republic of Ireland
Berehaven Camper and Amenity Park,http://www.berehavengolf.com,+353(0)2770700,-9.860045,51.654244,Cork,Castletownbere,Republic of Ireland
Lough Rynn Caravan and Camping Park,,+353(0)719631022,-7.86221502340538,53.8992098251137,Leitrim,Mohill,Republic of Ireland
Tree Grove Caravan and Camping Park,http://www.treegrovecamping.com,+353(0)868308845,-7.229414,52.63786,Kilkenny,Kilkenny City,Republic of Ireland
Hidden Valley Holiday Park,http://www.irelandholidaypark.com,+353(0)867272872,-6.22772,52.939076,Wicklow,Rathdrum,Republic of Ireland
Hideaway Camping and Caravan Park,,+353(0)2822254,-9.260331,51.541699,Cork,Skibbereen,Republic of Ireland
Clonvilla,,+353(0)2498288,-7.924324,51.91066,Cork,Youghal,Republic of Ireland
Bayview Caravan and Camping Park,https://www.goldcoastgolfresort.com/bayview-caravan-park.html,+353(0)5845100,-6.999519,52.158887,Waterford,Dungarvan,Republic of Ireland
Lakeside Caravan and Camping Park,https://lakesidecaravanandcamping.com/,+353(0)719852822,-8.172267,54.497341,Donegal,Ballyshannon,Republic of Ireland
Rosses Point Caravan Park (Greenlands),http://www.sligocaravanandcamping.ie,+353(0)719177113,-8.569483,54.306976,Sligo,Rosses Point,Republic of Ireland
Strandhill Caravan and Camping Park,http://www.sligocaravanandcamping.ie,+353(0)719168111,-8.605472,54.271988,Sligo,Strandhill,Republic of Ireland
Morriscastle Strand Family Caravan Park,http://www.morriscastlestrand.com,+353(0)539130124,-6.239527,52.517886,Wexford,Kilmuckridge,Republic of Ireland
Caseys Caravan Park,http://www.caseyscaravanpark.com,+353(0)749155376,-7.837826,55.195124,Donegal,Downings,Republic of Ireland
Flemings White Bridge Caravan and Camping,http://www.killarneycamping.com,+353(0)646631590,-9.47590406494146,52.0571132152927,Kerry,Killarney,Republic of Ireland
Fossa Caravan and Camping Park,http://www.fossacampingkillarney.com,+353(0)646631497,-9.585609,52.070824,Kerry,Killarney,Republic of Ireland
Glengarriff Caravan and Camping Park,,+353(0)2763154,-9.55515316927629,51.7481264966805,Cork,Glengarriff,Republic of Ireland
Lough Key Caravan and Camping Park,http://www.loughkey.ie,+353(0)719662212,-8.236114,53.980839,Roscommon,Boyle,Republic of Ireland
Streamstown Caravan and Camping Park,http://www.tipperarycaravanpark.com,+353(0)50521519,-7.839739,52.956649,Tipperary,Roscrea,Republic of Ireland
Roundwood Caravan and Camping Park,http://www.dublinwicklowcamping.com,+353(0)12818163,-6.22231876721184,53.0690991517685,Wicklow,Roundwood,Republic of Ireland
Anchor Caravan Park,http://www.anchorcaravanpark.com,+353(0)667139157,-9.985502,52.243542,Kerry,Castlegregory,Republic of Ireland
Tramore Beach Caravan and Camping Park,http://www.tramorebeachrosbeg.com,+353(0)749551491,-8.496765,54.809527,Donegal,Rosbeg,Republic of Ireland
Barleycove Holiday Park,http://barleycoveholidaypark.ie,+353(0)2835302,-9.78195,51.469705,Cork,Barley Cove,Republic of Ireland
Ocean Island Caravan and Camping Park,http://www.oceanislandmobilehomes.com/,+353(0)51397148,-6.844535,52.19997,Wexford,New Ross,Republic of Ireland
Eagle Point Camping,http://www.eaglepointcamping.com,+353(0)2750630,-9.453848,51.719186,Cork,Ballylickey,Republic of Ireland
Knockalla Caravan & Camping Park,http://www.knockallacaravanpark.com,+353(0)749159108,-7.61128588670855,55.1837052001816,Donegal,Portsalon,Republic of Ireland
Newtown Cove Caravan and Camping Park,http://www.newtowncove.com,+353(0)51381979,-7.172576,52.147718,Waterford,Tramore,Republic of Ireland
O'Sheas Caravan and Camping Park,,+353(0)2763140,-9.543672,51.750909,Cork,Glengarriff,Republic of Ireland
Gyles Quay Caravan and Camping Park,http://www.gylesquaycaravanpark.ie,+353(0)429376262,-6.242929,53.988262,Louth,Dundalk,Republic of Ireland
Casey's Caravan and Camping Park,,+353(0)5841919,-7.547392,52.095174,Waterford,Dungarvan,Republic of Ireland
Ballinacourty House,http://www.camping.ie,+353(0)6256000,-8.209861,52.41631,Tipperary,Glen Of Aherlow,Republic of Ireland
Desert House Caravan and Camping Park,,+353(0)238833331,-8.87516,51.622385,Cork,Clonakilty,Republic of Ireland
River Valley Caravan Park,http://www.rivervalleypark.ie,+353(0)40441647,-6.144819,52.88893,Wicklow,Redcross,Republic of Ireland
Beech Grove Caravan and Camping Park,http://www.campingkillarney.com,+353(0)646671848,-9.581831,52.070958,Kerry,Killarney,Republic of Ireland
Green Acres Caravan and Camping Park,http://www.greenacrescamping.ie,+353(0)659057011,-9.643485,52.620692,Clare,Kilkee,Republic of Ireland
Wave Crest Caravan and Camping Park,http://www.wavecrestcamping.com,+353(0)669475188,-10.091125,51.758832,Kerry,Caherdaniel,Republic of Ireland
Powers the Pot Caravan and Camping Park,http://www.powersthepot.com,+353(0)526123085,-7.622709,52.32725,Tipperary,Clonmel,Republic of Ireland
Creveen Lodge Caravan and Camping Park,http://www.creveenlodge.com,+353(0)646683131,-9.760142,51.755089,Kerry,Lauragh,Republic of Ireland
Westport House Caravan & Camping Park,http://www.westporthouse.ie/caravan-and-camping/,+353(0)9827766,-9.535621,53.800613,Mayo,Westport,Republic of Ireland
Carrowkeel Camping and Caravan Park,http://www.carrowkeelpark.ie,+353(0)949031264,-9.184605,53.909061,Mayo,Castlebar,Republic of Ireland
Knock Caravan and Camping Park,http://www.knock-shrine.ie/caravanpark,+353(0)949388223,-8.919139,53.787667,Mayo,Knock,Republic of Ireland
The Apple Camping and Caravan Park,http://www.theapplefarm.com,+353(0)527441459,-7.842714,52.378712,Tipperary,Cahir,Republic of Ireland
Renvyle Beach Caravan and Camping Park,http://www.renvylebeachcaravanpark.com,+353(0)9543462,-9.984855,53.602784,Galway,Renvyle,Republic of Ireland
Mannix Point Camping and Caravan Park,http://www.campinginkerry.com,+353(0)669472806,-10.24526,51.941941,Kerry,Cahersiveen,Republic of Ireland
Fitzmaurice's Caravan & Camping Park,http://www.fitzmauricescaravanpark.com,+353(0)51381466,-7.138872,52.164454,Waterford,Tramore,Republic of Ireland
Campail Teach an Aragail,http://www.dingleactivities.com,+353(0)669155143,-10.355572,52.173038,Kerry,Dingle,Republic of Ireland
Carra Caravan and Camping Park,http://www.carracaravanpark.com/,+353(0)949032054,-9.215432,53.798768,Mayo,Castlebar,Republic of Ireland
Nagles Doolin Camping and Caravan Park,http://www.doolincamping.com,+353(0)657074458,-9.384729,53.016322,Clare,Doolin,Republic of Ireland
Meadow Camping Park,,+353(0)2833280,-9.10905,51.564219,Cork,Glandore,Republic of Ireland
O'Riordans Caravan Park,,+353(0)214541825,-8.992936,51.566756,Cork,Owenahincha,Republic of Ireland
Sextons Caravan and Camping Park,http://www.sextonscamping.com,+353(0)872208088,-8.804424,51.634252,Cork,West Cork,Republic of Ireland
Garrettstown House Holiday Park,http://www.garrettstownhouse.com,+353(0)214778156,-8.595557,51.65339,Cork,Kinsale,Republic of Ireland
