Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
"""A Rural Experience"" Day Tours",http://www.aruralexperience.com,+353(0)567727590,-7.07423970149609,52.6297968743748,Kilkenny,Gowran,Republic of Ireland,"Activity Operator,Tour"
10 Fleet Street Restaurant & Bar,http://themorgan.com/en/10-fleet-street,+353(0)16437000,-6.2612322100822,53.3457958187091,Dublin,Dublin City,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar,Seafood,Vegetarian"
101 Talbot,https://www.facebook.com/pages/101-Talbot-Restaurant/197016933657643,+353(0)18745011,-6.257199,53.350167,Dublin,Dublin City,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Vegetarian"
11 Day Discover Ireland Tour - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
12 Day Giant Irish Adventure Tour - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
12 Henrietta Street,http://thedrawingroom.ie/,+353(0)862746153,-6.2705757,53.3524569,Dublin,Dublin City,Republic of Ireland,"Historic Houses and Castle,Venue,Music"
126 Artist-Run Gallery,https://126gallery.com/,,-9.0494491,53.2772719,Galway,Galway City,Republic of Ireland,"Craft,Shopping,Art Gallery"
14 Henrietta Street,https://14henriettastreet.ie,35315240383,-6.27021090475955,53.3525066716744,Dublin,Dublin City,Republic of Ireland,"Covid Safety Charter,Historic Houses and Castle,Museums and Attraction,Venue,Music,Food Shops,Shopping,Tour"
1916 Freedom Tour,http://www.1916tour.ie,+353(0)15311916,-6.25036385533451,53.3391383245021,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
1916 Rebellion Walking Tours,http://www.1916rising.com,+353(0)868583847,-6.261746,53.343099,Dublin,Dublin City,Republic of Ireland,"Walking,Activity Operator,Tour"
1916 Ride the Revolution Rise of the Rebels Bus Tour - Hidden Dublin Walks,http://www.hiddendublinwalks.com/1916-bus-tour-dublin.php,+353(0)862088117,-6.2798109,53.3454402,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
1st Adventure Tours,http://1stadventuretours.ie,+353(0)860767812,-8.60323392388511,54.1680768171531,Sligo,Coolaney,Republic of Ireland,"Activity Operator,Tour"
2019 Irish Harvest Festival,http://rolysbistro.ie,+353(0)16682611,-6.23225326121451,53.3294028362726,Dublin,Ballsbridge,Republic of Ireland,"Food and Drink,Restaurant"
2020 Art Gallery,https://2020curates.com/,353868332812,-8.4801299,51.90143,Cork,Cork City,Republic of Ireland,"Craft,Shopping,Art Gallery"
3 Day Southern Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
3 Day Western Rocker Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
360 Cookhouse,https://www.360cookhouse.ie/,3535844537,-7.6172691,52.0889628,Waterford,Dungarvan,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar"
365 Chauffeur Drive,http://www.365chauffeurdrive.ie,+353(0)871342012,-6.2601700553123,53.3493830372358,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
37 Dawson Street,http://www.37dawsonstreet.ie,35319022908,-6.258755,53.34054,Dublin,Dublin City,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar,Vegetarian"
5 Day Celtic Rocker Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
5 Day Fishing-Fly Fishing or Sea Angling,http://www.real-ireland.com,+00353(0)749548891,-8.43079226026218,54.9838630279562,Donegal,Burtonport,Republic of Ireland,"Fishing,Angling"
5 Day Giant's Rocker Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
53 Degrees North,http://www.53degreesnorth.ie,353214949804,-8.4755582,51.8993312,Cork,Cork City,Republic of Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
56 Central Restaurant,http://www.56central.com,35391569511,-9.052348,53.272925,Galway,Galway City,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar,Fine Dining"
6 Day Northern Ireland Tour - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
64 Wine,http://64wine.ie,+353(0)12805664,-6.12311677152729,53.2872152821415,Dublin,Glasthule,Republic of Ireland,"Food and Drink,Restaurant"
7 Day All Ireland Rocker Tour - Shamrocker Adventures,http://www.shamrockeradventures.com,+353(0)16727651,-6.269701,53.343801,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
"7 Day Magnetic North Adventure Tour, Vagabond Tours of Ireland",http://www.instagram.com/vagabondireland,+353(0)15634358,-6.10577993557354,53.0844372051494,Wicklow,Newtown Mount Kennedy,Republic of Ireland,"Activity Operator,Tour"
7 Day Treasure Ireland Tour - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
7 Day World Tour of Ireland - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
"7th Wave Surf, Sup, Kayak School",http://www.surfsligo.com,353879716389,-9.0987116,54.2116305,Sligo,Enniscrone,Republic of Ireland,"Surfing,Activity Operator"
8 Day Wild Irish Rover - Vagabond Tours of Ireland,http://twitter.com/vagabondireland,+353(0)14428559,-6.26020515750122,53.3493056292935,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
A Heritage Walk of Old Galway,,+353(0)91588897,-9.04947254971209,53.2721788149031,Galway,Galway City Centre,Republic of Ireland,"Activity Operator,Tour,Walking"
A Spasso A Dublino - Italian Tour in Dublin,https://www.aspassoperdublino.com/,+353(0)899644861,-6.25164772594451,53.3422400230571,Dublin,Dublin City,Republic of Ireland,"Walking,Activity Operator,Tour"
