CountyName,TimeStamp,CovidCases
Carlow,2020-03-21,3
Carlow,2020-03-22,3
Carlow,2020-03-23,3
Carlow,2020-03-24,3
Carlow,2020-03-25,3
Carlow,2020-03-26,3
Carlow,2020-03-27,3
Carlow,2020-03-28,3
Carlow,2020-03-29,3
Carlow,2020-03-30,3
Carlow,2020-03-31,3
Carlow,2020-04-01,3
Carlow,2020-04-02,6
Carlow,2020-04-03,12
Carlow,2020-04-04,12
Carlow,2020-04-05,12
Carlow,2020-04-06,15
Carlow,2020-04-07,16
Carlow,2020-04-08,19
Carlow,2020-04-09,22
Carlow,2020-04-10,32
Carlow,2020-04-11,38
Carlow,2020-04-12,44
Carlow,2020-04-13,53
Carlow,2020-04-14,59
Carlow,2020-04-15,59
Carlow,2020-04-16,69
Carlow,2020-04-17,71
Carlow,2020-04-18,78
Carlow,2020-04-19,79
Carlow,2020-04-20,80
Carlow,2020-04-21,84
Carlow,2020-04-22,86
Carlow,2020-04-23,88
Carlow,2020-04-24,91
Carlow,2020-04-25,92
Carlow,2020-04-26,93
Carlow,2020-04-27,95
Carlow,2020-04-28,95
Carlow,2020-04-29,100
Carlow,2020-04-30,100
Carlow,2020-05-01,126
Carlow,2020-05-02,127
Carlow,2020-05-03,127
Carlow,2020-05-04,132
Carlow,2020-05-05,132
Carlow,2020-05-06,133
Carlow,2020-05-07,136
Carlow,2020-05-08,139
Carlow,2020-05-09,141
Carlow,2020-05-10,141
Carlow,2020-05-11,143
Carlow,2020-05-12,143
Carlow,2020-05-13,144
Carlow,2020-05-14,144
Carlow,2020-05-15,146
Carlow,2020-05-16,147
Carlow,2020-05-17,148
Carlow,2020-05-18,149
Carlow,2020-05-19,150
Carlow,2020-05-20,151
Carlow,2020-05-21,151
Carlow,2020-05-22,152
Carlow,2020-05-23,152
Carlow,2020-05-24,152
Carlow,2020-05-25,152
Carlow,2020-05-26,154
Carlow,2020-05-27,155
Carlow,2020-05-28,158
Carlow,2020-05-29,166
Carlow,2020-05-30,166
Carlow,2020-05-31,166
Carlow,2020-06-01,166
Carlow,2020-06-02,169
Carlow,2020-06-03,169
Carlow,2020-06-04,168
Carlow,2020-06-05,168
Carlow,2020-06-06,168
Carlow,2020-06-07,167
Carlow,2020-06-08,168
Carlow,2020-06-09,168
Carlow,2020-06-10,168
Carlow,2020-06-11,168
Carlow,2020-06-12,171
Carlow,2020-06-13,171
Carlow,2020-06-14,171
Carlow,2020-06-15,171
Carlow,2020-06-16,171
Carlow,2020-06-17,173
Carlow,2020-06-18,173
Carlow,2020-06-19,174
Carlow,2020-06-20,174
Carlow,2020-06-21,175
Carlow,2020-06-22,175
Carlow,2020-06-23,175
Carlow,2020-06-24,175
Carlow,2020-06-25,175
Carlow,2020-06-26,175
Carlow,2020-06-27,175
Carlow,2020-06-28,175
Carlow,2020-06-29,175
Carlow,2020-06-30,175
Carlow,2020-07-01,175
Carlow,2020-07-02,175
Carlow,2020-07-03,175
Carlow,2020-07-04,175
Carlow,2020-07-05,175
Carlow,2020-07-06,175
Carlow,2020-07-07,175
Carlow,2020-07-08,175
Carlow,2020-07-09,176
Carlow,2020-07-10,176
Carlow,2020-07-11,176
Carlow,2020-07-12,176
Carlow,2020-07-13,176
Carlow,2020-07-14,176
Carlow,2020-07-15,177
Carlow,2020-07-16,178
Carlow,2020-07-17,178
Carlow,2020-07-18,178
Carlow,2020-07-19,178
Carlow,2020-07-20,179
Carlow,2020-07-21,179
Carlow,2020-07-22,179
Carlow,2020-07-23,179
Carlow,2020-07-24,179
Carlow,2020-07-25,179
Carlow,2020-07-26,179
Carlow,2020-07-27,179
