ID,Name,acc_CountyName
1,The Royal Cork Yacht Club,Cork
2,Coliste na Rinne,Waterford
3,The Cathedral View Apartments,Longford
4,Great Blasket Island Accommodation,Kerry
5,Newlands Lodge,Kilkenny
6,Winnies Cottage,Kerry
7,Caiseal Mara Hotel,Donegal
8,Feericks Hotel,Westmeath
9,Carton House,Kildare
10,Carrygerry Country House,Clare
11,Shannon Breeze,Clare
12,Mill Road Farm,Wexford
13,The Loft,Wexford
14,Mill Farm Fern Cottage,Wexford
15,Kilmore Cottage,Wexford
16,Rosdarrig,Roscommon
17,Armcashel BB,Roscommon
18,Clonalis House,Roscommon
19,Killfountain Farm,Kerry
20,An Dooneen,Kerry
21,Ballyegan House,Kerry
22,Sea Villa,Cork
23,Avondale House,Roscommon
24,Sandycove,Cork
25,Marengo,Cork
26,An Garran Coir,Cork
27,Bay View House,Cork
28,Druids Glen Hotel  Golf Resort,Wicklow
29,Stella Maris Country House Hotel,Mayo
30,The Midlands Park Hotel,Laois
31,Carnegie Court Hotel,Dublin
32,The Martello Hotel,Wicklow
33,Castle Durrow Country House Hotel,Laois
34,Clayton Hotel Limerick,Limerick
35,Racket Hall Hotel,Tipperary
36,Bloomfield House Hotel and Leisure Club,Westmeath
37,Inishowen Gateway Hotel,Donegal
38,Park Hotel Kenmare,Kerry
39,Town House Hotel,Kildare
40,White Sands Hotel,Dublin
41,Granville Hotel,Waterford
42,An Doilin Hotel,Galway
43,Heatons Guesthouse,Kerry
44,Butlers Townhouse,Dublin
45,Ferryport House,Wexford
46,Dn Na S,Donegal
47,Murphys of Killarney,Kerry
48,Moriartys Farmhouse,Kerry
49,Berehaven Camper and Amenity Park,Cork
50,Lough Rynn Caravan and Camping Park,Leitrim
51,Tree Grove Caravan and Camping Park,Kilkenny
52,Hidden Valley Holiday Park,Wicklow
53,Hideaway Camping and Caravan Park,Cork
54,Clonvilla,Cork
55,Bayview Caravan and Camping Park,Waterford
56,Lakeside Caravan and Camping Park,Donegal
57,Rosses Point Caravan Park Greenlands,Sligo
58,Strandhill Caravan and Camping Park,Sligo
59,Morriscastle Strand Family Caravan Park,Wexford
60,Caseys Caravan Park,Donegal
61,Flemings White Bridge Caravan and Camping,Kerry
62,Fossa Caravan and Camping Park,Kerry
63,Glengarriff Caravan and Camping Park,Cork
64,Lough Key Caravan and Camping Park,Roscommon
65,Streamstown Caravan and Camping Park,Tipperary
66,Roundwood Caravan and Camping Park,Wicklow
67,Anchor Caravan Park,Kerry
68,Tramore Beach Caravan and Camping Park,Donegal
69,Barleycove Holiday Park,Cork
70,Ocean Island Caravan and Camping Park,Wexford
71,Eagle Point Camping,Cork
72,Knockalla Caravan  Camping Park,Donegal
73,Newtown Cove Caravan and Camping Park,Waterford
74,OSheas Caravan and Camping Park,Cork
75,Gyles Quay Caravan and Camping Park,Louth
76,Caseys Caravan and Camping Park,Waterford
77,Ballinacourty House,Tipperary
78,Desert House Caravan and Camping Park,Cork
79,River Valley Caravan Park,Wicklow
80,Beech Grove Caravan and Camping Park,Kerry
81,Green Acres Caravan and Camping Park,Clare
82,Wave Crest Caravan and Camping Park,Kerry
83,Powers the Pot Caravan and Camping Park,Tipperary
84,Creveen Lodge Caravan and Camping Park,Kerry
85,Westport House Caravan  Camping Park,Mayo
86,Carrowkeel Camping and Caravan Park,Mayo
87,Knock Caravan and Camping Park,Mayo
88,The Apple Camping and Caravan Park,Tipperary
89,Renvyle Beach Caravan and Camping Park,Galway
90,Mannix Point Camping and Caravan Park,Kerry
91,Fitzmaurices Caravan  Camping Park,Waterford
92,Campail Teach an Aragail,Kerry
93,Carra Caravan and Camping Park,Mayo
94,Nagles Doolin Camping and Caravan Park,Clare
95,Meadow Camping Park,Cork
96,ORiordans Caravan Park,Cork
97,Sextons Caravan and Camping Park,Cork
98,Garrettstown House Holiday Park,Cork
99,North Beach Caravan and Camping Park,Dublin
100,Nore Valley Park,Kilkenny
101,Jasmine Villa,Cork
102,Galey Bay Caravan and Camping Park,Roscommon
103,Glen Ross Caravan and Camping Park,Kerry
104,Keel Sandybanks Caravan and Camping Park,Mayo
105,Pairc Saoire an Spideil,Galway
106,Cong Caravan and Camping Park,Mayo
107,Donoghues White Villa Farm Caravan Park,Kerry
108,Lakeside Holiday Park,Clare
109,Blarney Caravan and Camping Park,Cork
110,"Belleek Park, Caravan and Camping Park",Mayo
111,Killarney Flesk Caravan Park,Kerry
112,Parsons Green,Tipperary
113,Lough Ramor Caravan and Camping Park,Cavan
114,Moat Farm Caravan and Camping Park,Wicklow
115,Rosguill Caravan and Camping Park,Donegal
116,Atlantic Caravan Park,Sligo
117,Corofin Village Camping and Caravan,Clare
118,Glenbeg Caravan Park,Kerry
119,Woodlands Park,Kerry
120,Lough Lannagh Caravan Park,Mayo
121,Sir Rogers Caravan and Camping Park,Kerry
122,Adare Camping  Caravan Site,Limerick
123,The Trading Post Camper Park,Wexford
124,OBriens Cashel Lodge,Tipperary
125,Clifden Campsite and Caravan Park,Galway
126,Lough Arrow Touring Park,Sligo
127,Beirnes of Battlebridge,Leitrim
128,Currarevagh House,Galway
129,OConnors Guesthouse,Kerry
130,Portree Guesthouse,Waterford
131,Tahilla Cove,Kerry
132,Kilronan Guesthouse,Dublin
133,Coolcower House,Cork
134,Egans House,Dublin
135,Ariel Guesthouse,Dublin
136,The Bianconi Inn,Kerry
137,Foleys Town House,Kerry
138,Crocnaraw Country House,Galway
139,Alpine House,Kerry
140,Atlantic,Donegal
141,The Castle,Cork
142,Ballymaloe House,Cork
143,Richmond House,Waterford
144,Adare Guesthouse,Galway
145,Pikers Lodge,Cavan
146,Ach na Sheen,Tipperary
147,Harveys Guesthouse,Dublin
148,Lehinch Lodge,Clare
149,Faythe Guesthouse,Wexford
150,19th Green,Kerry
151,Smugglers Inn,Kerry
152,Bay View,Clare
153,Ardagh House,Dublin
154,Ashleigh House,Monaghan
155,Rathsallagh House,Wicklow
156,Glendine Inn,Kilkenny
157,Woodhill House,Donegal
158,Fitzwilliam Townhouse,Dublin
159,Saint George Guesthouse,Wexford
160,Garnish House,Cork
161,The White House,Cork
162,Anglers Rest,Cavan
163,Butler House,Kilkenny
164,Tierneys,Cork
165,Foleys Guesthouse,Kerry
166,Aisleigh,Leitrim
167,The Old Bank Town House,Cork
168,Bunbeg House,Donegal
169,Grovemount House,Clare
170,Cawleys Guesthouse,Sligo
171,MacNean House,Cavan
172,Charleville Lodge,Dublin
173,Moloney House,Clare
174,Ahernes,Cork
175,Barrowville Town House,Carlow
176,Killarney House,Cork
177,Tigh Chualain,Galway
178,Ceol Na Mara,Sligo
179,Gleann Fia Country House,Kerry
180,Ard Einne House,Galway
181,Stauntons on the Green,Dublin
182,Tigh Fitz,Galway
183,Dublin Central Inn,Dublin
184,Clon Ross,Cork
185,Riversdale Farm BB,Leitrim
186,Coach House,Waterford
187,Inveraray Farm,Kerry
188,Clifden Guesthouse,Dublin
189,Hanoras Cottage,Waterford
190,Ben View House,Galway
191,Ardmore House,Monaghan
192,The Olde Post Inn,Cavan
193,Teach De Broc,Kerry
194,Cullinans Guesthouse,Clare
195,Glenwood House,Cork
196,Glen Guesthouse,Dublin
197,Inishmore House,Galway
198,Moorings,Kerry
199,Mountain View,Galway
200,Gleesons Townhouse and Restaurant,Roscommon
201,Fuchsia House,Kerry
202,The Gables,Kildare
203,Greenmount House,Kerry
204,Waterside House,Kilkenny
205,Corrib Wave House,Galway
206,The Maltings Bed and Breakfast,Offaly
207,Brookhaven,Kerry
208,Pembroke Townhouse,Dublin
209,Harbour House BB,Wexford
210,Shelburne Lodge,Kerry
211,Hibernian House,Kilkenny
212,Killarney Lodge,Kerry
213,The Strand,Clare
214,Old Weir Lodge,Kerry
215,Lisdonagh House,Galway
216,Myles Creek,Clare
217,Dun Ri,Galway
218,The Boutique,Limerick
219,Buttermilk Lodge,Galway
220,Broadmeadow Country House,Meath
221,Waterloo House,Dublin
222,Harrington Hall,Dublin
223,Aisling Guest House,Meath
224,Richmond Inn,Longford
225,Ballyvaughan Lodge,Clare
226,Wild Honey Inn,Clare
227,West End Bar,Kerry
228,Redbank House,Dublin
229,Seashore Farm Guesthouse,Kerry
230,Ardilaun House,Clare
231,Highfield House,Meath
232,Lancaster Lodge,Cork
233,Cliff Townhouse,Dublin
234,Keepers Arms,Cavan
235,Clooneen Guesthouse,Mayo
236,Moy House,Clare
237,Kilkee Thalasso Centre,Clare
238,Fitzpatricks,Cavan
239,McCarthys Guesthouse,Mayo
240,King Sitric Guesthouse,Dublin
241,Kingfisher Lodge,Kerry
242,Ferryview Guesthouse,Dublin
243,Drumcreehy House,Clare
244,Ballyraine Guesthouse,Donegal
245,Blindgate House,Cork
246,Achill House,Cork
247,Davitts,Kerry
248,Rannoch,Meath
249,ODonnabhains Guesthouse,Kerry
250,Benbaun House,Galway
251,Carlow Guesthouse,Carlow
252,Gormans Clifftop House  Restaurant,Kerry
253,Abbey Lodge,Kerry
254,Sea Rod Inn,Mayo
255,Carrig Country House,Kerry
256,Fanad House,Kilkenny
257,Quay House,Galway
258,Laurels Guesthouse,Kilkenny
259,Ballyknocken House,Wicklow
260,Ashville Guesthouse,Mayo
261,Blarney Stone,Cork
262,Grafton Guesthouse,Dublin
263,Fairview Boutique Hotel,Kerry
264,Virginias Guest House,Kerry
265,Riverside Restaurant  Guesthouse,Mayo
266,Wineport Lodge,Westmeath
267,The Tides,Kerry
268,Kennys Guesthouse,Mayo
269,The Courtyard,Clare
270,Crystal Springs,Kerry
271,Harbour House,Kerry
272,OConnors Farmhouse,Clare
273,Buswells Hotel,Dublin
274,Imperial Hotel,Kerry
275,stn Loch Altan Hotel,Donegal
276,Ballyliffin Hotel,Donegal
277,Lucan Spa Hotel,Dublin
278,Grand Hotel,Dublin
279,Leens Hotel,Limerick
280,Butler Arms Hotel,Kerry
281,Lake Hotel,Kerry
282,Lansdowne Arms Hotel,Kerry
283,Dooleys Hotel Waterford,Waterford
284,Bush Hotel,Leitrim
285,Club House Hotel,Kilkenny
286,Kildare Street Hotel,Dublin
287,Beach Hotel,Donegal
288,Kees Hotel,Donegal
289,Westcourt Hotel,Louth
290,Muskerry Arms,Cork
291,Friars Lodge,Cork
292,Conyngham Arms Hotel,Meath
293,Hunters Hotel,Wicklow
294,Holyrood Hotel,Donegal
295,"Central Hotel, Conference and Leisure Centre",Donegal
296,Gougane Barra Hotel,Cork
297,Dorrians Imperial Hotel,Donegal
298,Bay View Hotel,Cork
299,The Wyatt Hotel,Mayo
300,"Yeats Country Hotel, Spa and Leisure Club",Sligo
301,Talbot Hotel,Wexford
302,Arbutus Hotel,Kerry
303,Caseys Hotel,Cork
304,Bridge Hotel,Wicklow
305,Foyles Hotel,Galway
306,Killarney Towers Hotel  Leisure Centre,Kerry
307,International Hotel Killarney,Kerry
308,Doolys Hotel,Offaly
309,Kellys Resort Hotel,Wexford
310,The Metropole Hotel,Cork
311,Ashford Castle Hotel,Mayo
312,Ryans Hotel,Mayo
313,Hayes Hotel,Tipperary
314,Muckross Park Hotel  Spa,Kerry
315,Maple Hotel,Dublin
316,Marine Hotel,Dublin
317,Towers Hotel,Kerry
318,Hearns Hotel,Tipperary
319,Shandon Hotel  Spa,Donegal
320,Taravie Hotel,Wexford
321,West Cork Hotel,Cork
322,Great Northern Hotel,Donegal
323,Castle Hotel,Cork
324,Riu Plaza The Gresham Hotel,Dublin
325,Glenview Hotel,Wicklow
326,Royal Hotel and Merrill Leisure Centre,Wicklow
327,Bailie Hotel,Cavan
328,Ashling Hotel Dublin,Dublin
329,Queens Hotel,Clare
330,Barrys Hotel,Dublin
331,OSheas Hotel,Waterford
332,Munster Arms Hotel,Cork
333,Abbey Hotel,Donegal
334,The North Star Hotel,Dublin
335,Courtmacsherry Hotel,Cork
336,Skeffington Arms Hotel,Galway
337,Dergvale Hotel,Dublin
338,Glendalough Hotel,Wicklow
339,Garryvoe Hotel,Cork
340,Longford Arms Hotel,Longford
341,Twin Trees Hotel  Leisure Club,Mayo
342,Ravine Hotel,Clare
343,Wards Hotel,Galway
344,Grand Hotel,Wicklow
345,McGettigans Hotel,Donegal
346,The Clarence,Dublin
347,Wynns Hotel,Dublin
348,Bel-Air Hotel,Wicklow
349,Glen Hotel,Donegal
350,Imperial Hotel,Galway
351,Great Southern Killarney,Kerry
352,Parknasilla Hotel,Kerry
353,The Hardiman,Galway
354,Dunraven Arms Hotel,Limerick
355,Jacksons Hotel,Donegal
356,Renvyle House Hotel,Galway
357,Imperial Hotel,Clare
358,Old Ground Hotel,Clare
359,ODonovans Hotel,Cork
360,Strand Hotel,Mayo
361,The Ross,Kerry
362,Ballynahinch Castle Hotel,Galway
363,Actons Hotel,Cork
364,Newport House Hotel,Mayo
365,Sheedys Country House Hotel,Clare
366,Arnolds Hotel,Donegal
367,Ballymascanlon Hotel,Louth
368,Haven Hotel,Waterford
369,Seaview House Hotel,Cork
370,Lansdowne Hotel,Dublin
371,Commodore Hotel,Cork
372,Island View Hotel,Dublin
373,Rathbaun Hotel,Clare
374,Strand Hotel,Donegal
375,Fitzpatrick Castle Dublin Hotel,Dublin
376,stn Gob AChoire,Mayo
377,Haddington House,Dublin
378,Cahernane House Hotel,Kerry
379,Falls Hotel,Clare
380,The Gleneagle Hotel,Kerry
381,Greville Arms Hotel,Westmeath
382,TF Royal Hotel and Theatre,Mayo
383,Ballygarry House Hotel and Spa,Kerry
384,Sandhouse Hotel,Donegal
385,Highlands Hotel,Donegal
386,Seven Oaks Hotel,Carlow
387,White Sands Hotel,Kerry
388,Castlerosse Park Resort,Kerry
389,The Europe Hotel  Resort,Kerry
390,Ardilaun Hotel and Leisure Club,Galway
391,County Arms Hotel,Offaly
392,Nuremore Hotel,Monaghan
393,Tower Hotel and Leisure Centre,Waterford
394,Blue Haven Hotel,Cork
395,"Arklow Bay Conference, Leisure and Spa Hotel",Wicklow
396,Listowel Arms Hotel,Kerry
397,Clew Bay Hotel,Mayo
398,Dromoland Castle Hotel,Clare
399,Ballsbridge Hotel,Dublin
400,Breaffy House Hotel,Mayo
401,Rathmullan House Hotel,Donegal
402,Minella Hotel and Leisure Centre,Tipperary
403,Boyne Valley Hotel and Country Club,Louth
404,The Hotel Rosslare,Wexford
405,Salthill Hotel,Galway
406,"Abbey Hotel, Conference and Leisure",Roscommon
407,The Anner Hotel,Tipperary
408,Ivy Tower Hotel,Mayo
409,Rochestown Lodge Hotel and Leisure Club,Dublin
410,Park Inn Shannon Airport,Clare
411,Rosapenna Hotel and Golf Resort,Donegal
412,Innishannon House Hotel,Cork
413,Dromhall Hotel,Kerry
414,Anno Santo Hotel,Galway
415,The Dunloe Hotel  Gardens,Kerry
416,Trident Hotel,Cork
417,Newpark Hotel,Kilkenny
418,Brandon Hotel Conference  Leisure Centre,Kerry
419,Ballyrafter House Hotel,Waterford
420,Killarney Plaza Hotel and Spa,Kerry
421,Green Isle Conference  Leisure Hotel,Dublin
422,Abbeyglen Castle Hotel,Galway
423,Cashel House Hotel,Galway
424,Hotel Killarney,Kerry
425,Belleek Castle,Mayo
426,The Killarney Royal Hotel,Kerry
427,Hotel Kilkenny,Kilkenny
428,Gregans Castle Hotel,Clare
429,Treacys West County Conference  Leisure Hotel,Clare
430,Clayton Hotel Silver Springs,Cork
431,"Mount Errigal Hotel, Conference and Leisure Centre",Donegal
432,Devon Inn Hotel,Limerick
433,The Inn At Dromoland,Clare
434,Brandon House Hotel and Solas Croi Spa,Wexford
435,Radisson Blu Hotel and Spa,Sligo
436,Dingle Skellig Hotel,Kerry
437,Castle Arms Hotel,Laois
438,Fernhill House Hotel  Gardens,Cork
439,The Ring of Kerry Hotel,Kerry
440,Dublin Skylon Hotel,Dublin
441,Westport Woods Hotel  Spa,Mayo
442,Ferrycarrig Hotel,Wexford
443,Carraroe Hotel,Galway
444,Doonmore Hotel,Galway
445,Roundstone House Hotel,Galway
446,Flannerys Hotel Galway,Galway
447,The Connacht Hotel,Galway
448,Aghadoe Heights Hotel  Spa,Kerry
449,Westlodge Hotel  Estate,Cork
450,Ross Lake House Hotel,Galway
451,Kenmare Bay Hotel  Resort,Kerry
452,Four Seasons Hotel,Monaghan
453,Sligo Park Hotel and Leisure Club,Sligo
454,Earl of Desmond Hotel,Kerry
455,Tara Towers Hotel,Dublin
456,Greenhills Hotel,Limerick
457,Rosleague Manor Hotel,Galway
458,Lawlors Hotel,Waterford
459,"Hotel Westport, Leisure Spa and Conference",Mayo
460,Woodfield House Hotel,Limerick
461,Hillgrove Hotel Leisure and Spa,Monaghan
462,Rathkeale House Hotel,Limerick
463,The Keadeen Hotel,Kildare
464,Shannon Lodge Hotel,Offaly
465,"Castlecourt Hotel Spa, Leisure and Conference",Mayo
466,Kellys Hotel,Dublin
467,Cabra Castle Hotel,Cavan
468,Hotel Imperial,Louth
469,Maldron Hotel Dublin Airport,Dublin
470,Bram Stoker Hotel,Dublin
471,Clayton Hotel Burlington Road,Dublin
472,Lake House Hotel,Donegal
473,Villa Maria Hotel,Kerry
474,Headfort Arms Hotel,Meath
475,Ballyroe Heights Hotel,Kerry
476,Rockbarton Park Hotel,Galway
477,Zetland Country House Hotel,Galway
478,Radisson Blu Hotel  Spa Limerick,Limerick
479,Auburn Lodge Hotel and Leisure Centre,Clare
480,Hylands Burren Hotel,Clare
481,The Woodford Dolmen Hotel,Carlow
482,Fitzgeralds Hotel,Donegal
483,Kylemore Pass Hotel,Galway
484,Aherlow House Hotel,Tipperary
485,Kilbrackan Arms Hotel,Leitrim
486,Springfield Hotel,Kildare
487,White Lady Hotel,Cork
488,Central Hotel,Dublin
489,Hydro Hotel,Clare
490,Ardboyne Hotel,Meath
491,Springhill Court Hotel,Kilkenny
492,Riverbank House Hotel,Wexford
493,West County Hotel,Dublin
494,Mountshannon Hotel,Clare
495,OLoughlins Hotel,Laois
496,"Redcastle Oceanfront, Golf and Spa Hotel",Donegal
497,Midleton Park Hotel and Spa,Cork
498,Castle Arch Hotel,Meath
499,Marlfield House Hotel,Wexford
500,Killarney Avenue Hotel,Kerry
501,Blarney Woollen Mills Hotel,Cork
502,Eccles Hotel,Cork
503,Sancta Maria Hotel,Clare
504,Teach stan na Pairce Hotel,Galway
505,Glenside Hotel,Meath
506,Cedar Lodge Hotel and Restaurant,Wexford
507,Gate Hotel,Dublin
508,Treacys Hotel Spa and Leisure Club Waterford,Waterford
509,Portmarnock Hotel  Golf Links,Dublin
510,Parkway Hotel,Cork
511,Lakeside Hotel,Clare
512,Harcourt Hotel,Dublin
513,Hotel Kilmore,Cavan
514,Summerhill House Hotel,Wicklow
515,Ardagh Hotel  Restaurant,Galway
516,Tinakilly Country House and Restaurant,Wicklow
517,Kilcoran Lodge Hotel,Tipperary
518,Sligo Southern Hotel,Sligo
519,Woodenbridge Hotel,Wicklow
520,Dun A Ri House Hotel,Cavan
521,stn Inis Orr,Galway
522,"Oranmore Lodge Hotel, Conference and Leisure Centre",Galway
523,Creighton Hotel,Monaghan
524,Farnham Arms Hotel,Cavan
525,The Westbury Hotel,Dublin
526,Blarney Castle Hotel,Cork
527,Carrickdale Hotel,Louth
528,Sullivans Royal Hotel,Galway
529,Corks Vienna Woods Hotel,Cork
530,McKevitts Village Hotel,Louth
531,The Belvedere Hotel,Dublin
532,Clonea Strand Hotel,Waterford
533,The Strand Hotel,Wicklow
534,Firgrove Hotel,Cork
535,"Oriel House Hotel, Leisure Club",Cork
536,Hibernian Hotel,Cork
537,Imperial Hotel,Cork
538,Bunratty Castle Hotel,Clare
539,Ballyseede Castle Hotel,Kerry
540,Grand Hotel,Kerry
541,Hodson Bay Hotel,Westmeath
542,Celbridge Manor Hotel,Kildare
543,Alcock and Brown Hotel,Galway
544,Lawlesss Hotel,Wicklow
545,Connemara Coast Hotel,Galway
546,Castle Oaks House Hotel,Limerick
547,Whites Burren Castle Hotel,Clare
548,The Station House Hotel,Meath
549,Longueville House Hotel,Cork
550,Finnstown Castle Hotel,Dublin
551,Tulfarris Hotel and Golf Resort,Wicklow
552,Castle Hotel,Dublin
553,Russell Court Hotel,Dublin
554,Ard na Sidhe Country House,Kerry
555,The Mont,Dublin
556,Dingle Benners Hotel,Kerry
557,Lake of Shadows Hotel,Donegal
558,Waterford Castle Hotel and Golf Resort,Waterford
559,Adare Manor Hotel  Golf Resort,Limerick
560,Stella Maris Hotel,Clare
561,Bonnington Hotel,Dublin
562,Rochestown Park Hotel,Cork
563,Conrad Dublin,Dublin
564,Mount Juliet Estate,Kilkenny
565,The Shoreline Hotel,Dublin
566,Eviston House Hotel,Kerry
567,Dalton Inn Hotel,Mayo
568,Danaghers Hotel,Mayo
569,King Thomond Hotel,Clare
570,Cliff House Hotel,Kerry
571,Majestic Hotel,Waterford
572,Lough Inagh Lodge Hotel,Galway
573,"Slieve Russell Hotel, Golf and Country Club",Cavan
574,Harveys Point,Donegal
575,The Park Hotel and Leisure Centre,Waterford
576,McSweeney Arms Hotel,Kerry
577,Sheen Falls Lodge,Kerry
578,Castletroy Park Hotel,Limerick
579,Kildare Hotel and Country Club,Kildare
580,Allingham Arms Hotel,Donegal
581,The Farmers Kitchen,Wexford
582,The Oakwood Hotel,Clare
583,Round Tower Hotel,Waterford
584,Killeen House Hotel,Kerry
585,Leixlip House Hotel,Kildare
586,Harbour View Hotel,Kildare
587,Glenlo Abbey Hotel  Estate,Galway
588,Cill Aodain Court Hotel,Mayo
589,Randles Hotel,Kerry
590,The Carraig,Tipperary
591,Ballinalacken Castle,Clare
592,The Killarney Park,Kerry
593,Clanree Hotel,Donegal
594,Whitford House Hotel Health  Leisure Club,Wexford
595,Bay View Hotel,Donegal
596,Travelodge Cork Airport,Cork
597,The House Hotel,Galway
598,Jurys Inn Christchurch,Dublin
599,Jurys Inn Galway,Galway
600,Dylan Hotel,Dublin
601,Walter Raleigh Hotel,Cork
602,Temple Bar Hotel,Dublin
603,The Davenport,Dublin
604,Crover House Hotel,Cavan
605,Travelodge Dublin Airport,Dublin
606,Maples House Hotel,Dublin
607,Victoria Towers Hotel,Galway
608,Commercial and Tourist Hotel,Leitrim
609,Gold Coast Golf Hotel,Waterford
610,Bellbridge House Hotel,Clare
611,Fitzsimons Hotel,Dublin
612,stan Radharc Na Cibhe,Donegal
613,Jurys Inn Cork,Cork
614,Sligo City Hotel,Sligo
615,Mespil Hotel,Dublin
616,Kilmurry Lodge Hotel,Limerick
617,Gullanes Hotel,Galway
618,River Island Hotel,Kerry
619,Beresford Hotel,Dublin
620,The Darnley Lodge Hotel,Meath
621,The Fleet Street Hotel,Dublin
622,Hotel Saint George,Dublin
623,Harding Hotel,Dublin
